bq#,title,comp_date,composer,dates,arranger,instrumentation,state,ui_library,digitized,notes
,Sonata,1922,"Poulenc, Francis",,,"Trio (horn, trpt in C or Bb, trbn)",orig,,y,
,La Fiesta,,Guentzel,,,"Sextet (2 Bb cornet, hn, trbn, brtn, tuba)",orig,,y,brtn has bass or treble clef parts
,Tower Music,,Beckerath,,,"Sextet (3 trpt, 3 trbn)",orig,,y,"additional horn part, not orig"
,Sextet in Four Parts Op. 30,,"Böhme, Oskar",,,"Sextet (3 Bb trpt, hn, trbn or brtn, tuba",orig (except trpt 1),,y,"alternate hn for trpt 3, alternate trbn or brtn for hn"
,Allegro from eine kleine Nachtmusik,,Mozart,,Trans. Robert King,"Sextet (2 Bb trpt, 2 hn, trbn, brtn or trbn or tuba)",orig,,y,"Bb trpt substitute for hn 1, trbn substitute for hn 2"
,Music for King Charles II,,"Locke, Matthew",1630-1677,Edited by Robert King,"Sextet (3 Bb trpt, hn, trbn, brtn or trbn or tuba)",orig,,y,"hn sub for trpt 3, trbn sub for hn"
,Pastorale from Christmas Concerto Grosso,,Corelli,,Trans. Robert King,"Sextet (2 Bb crnt, 2 hn, trbn, brtn or trbn or tuba)",orig,,y,"crnt sub for hn1, trbn sub for hn 2"
,Three Short Classics,,"Grieg, Edvard",,Charles N. Boyd,"Sextet (2 Bb trpt, hn, trbn, brtn, tuba",orig,,y,
,In Festive Mood,,"Busch, Carl",,,"Sextet (2 Bb trpt, Eb hn or Bb trpt, trbn or brtn, brtn or trbn, tuba)",orig,,y,
,Untitled,,Don Hannah,,,"Sextet (2 trpt, hn, tbn, brtn, tuba)",orig,,y,
,Zanzibar,,"Smith, Leonard",,,"Sextet (2 cornet, hn or 3 cnt, trbn or brtn, brtn or trbn, tuba",orig,,y,
,High Tide,,"Dillon, Robert",,,"Sextet ( 2 Bb crnt, hn, trbn, brtn, tuba)",orig,,y,
,"Prayer from ""Rienzi""",,"Wagner, Richard",,Trans. George Trinkaus,"Sextet ( 2 Bb trpt or crnt, hn, trbn, brtn, tuba)",orig,,y,"3 trpt sub for hn, hn sub for trbn"
,Suite for Brass Sextet Op. 55,,"Cazden, Norman",,,"Sextet ( 2 Bb trpt, F or Eb hn, brtn, trbn, tuba)",orig,,y,
,Five Ragtimes for Brass Ensemble,,"Joplin, Scott",1868-1917,István Regõs,"Sextet ( 2 trpt, 3 trbn, tuba)",orig,,y,
,Capriccio Italien Op. 45,,Tschaikowsky,,J. I. Tallmadge,"Sextet ( 2 Bb crnt, hn, brtn, trbn, tuba, marimba)",orig,,y,
,Cathedral Scene and Intermezzo,,"Mascagni, Pietro",,Ralph Everett,"Sextet ( 2 Bb crnt, hn, trbn, brtn, tuba)",orig,,y,
,Kamennoi-Ostrow,,"Rubinstein, Anton",,John Spencer,"Sextet ( 2 trpt, hn, brtn, trbn, tuba, marimba, chime)",orig,,y,
,Die Meistersinger,,"Wagner, Richard",,Charles C. Gallagher Jr.,"Sextet ( 2 trpt, trbn, hn, brtn, bass)",orig,,y,
,Air,,Purcell,,Jean Thilde,"Sextet ( 3 trpt, 3 trbn or 2 trbn 1 tuba)",orig,,y,
,Suite from the Royal Brass Music of King James the First,,,,Thurston Dart,"Septet ( 3 C trpt, 4 trbn)",orig,,y,missing trbn 1 and 2
