Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
,"Adams, Emmett A.",The Bells of St. Mary's,2159,2,TTBB,Chappell,,,,Piano,,,,,,,,,,,,,,,,,
,"Ades, Hawley",Get Happy,1128 /2 envelopes,60,SATB,Shawnee Press,,,Montage of songs from the 30s,"Piano, opt instruments",,,,,,,,,,,,,,,,,
"Ades, Hawley","Ades, Hawley",A Sentimental Journey thru the 40's,926 /2 envelopes,40,SATB,Shawnee Press,,,,"piano, rhythm, and jazz ens",,,,,,,,,,,,,,,,,
,"Adler, Smauel",Two Nonsense Songs,1025 /2 envelopes,50,SATB,Hinshaw Music,,,,Piano,,,,,,,,,,,,,,,,,
,"Agay, Denes",Old Irish Blessing,2401,2,SSA,Warner Brothers,,,,Piano,,,,,,,,,,,,,,,,,
,"Aguilar, Ernani",Salmo 150,1702,26,SATB,Earth Songs,,,,A cappella,,,,,,,,,,,,,,,,,
,"Ahlen, Waldemar",The Earth Adorned,1703,99,SATB,Hal Leonard,,,,A cappella,,,,,,,,,,,,,,,,,
,"Ahrold, Frank",Es Steht Ein Lind (A Linden Stands),1,17,SATB,Witmark & Sons,,,,,,,,,,,,,,,,,,,,,
,"Aichinger, G",Factus est repente,1918,10,SATB,,,,,A cappella,,,,,,,,,,,,,,,,,
"Knight, Gerald","Aichinger, Gregor",Jubilate Deo,2,10,SATB,Carl Fischer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Aichinger, Gregor",Regina Coeli,929,40,SATB,Arista Music Company,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Aitken, Paul A.",Flanders Fields,1704,29,SSAATBB,Lawson Gould,,,,A cappella,,,,,,,,,,,,,,,,,
,Alexandru Pascanu,Chindia,1841 /2 Envelpes,45,SATB,SB Music ,,,,Piano,,,,,,,,,,,,,,,,,
,"Alfven, Hugo",A Maiden Is in a Ring,1042,40,SATB,Walton Music ,,,,A cappella,,,,,,,,,,,,,,,,,
