Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Score Type,Publisher,Performance Date,PlayingTime,Score (Full/Cond/Oversized),Comments
Choral,"Ades, Hawley","Ades, Hawley",A Sentimental Hourney thru the 40's,42/926,,SATB,Shawnee Press,,,,"Accompanied, piano, rhythm, and jazz ens.",
Choral,"Ades, Hawley",,Get Happy,60/1128,,SATB,Shawnee Press,,,,Accompanied,
Choral,"Adler, Smauel",,Two Nonsense Songs,49/1205,,SATB,Hinshaw Music,,,,Accompanied,
Choral,"Ahrold, Frank",,Es Steht Ein Lind (A Linden Stands),1/1,17,SATB,Witmark & Sons,,,,A capella,
Choral,"Aichinger, Gregor","Knight, Gerald",Jubilate Deo,1/2,9,SATB,Carl Fischer,,,,A capella,
Choral,"Aichinger, Gregor",,Regina Coeli,42/929,,SATB,Arista Music Company,,,,A capella,
Choral,Alexandru Pascanu,,Chindia,shelf/1458,,,SB Music Pub.,,,,,
Choral,"Alfven, Hugo",,A Maiden Is in a Ring,49/1042,40,SATB,Walton Music Corp.,,,,A capella,
Choral,"Alfven, Hugo",,Aftonen (Evening),49/1043,40,SATB,Walton Music Corp.,,,,A capella,
Choral,Alkan,,Funeral March on the Death of a Parrot,shelf/1447,,,Copied With Permission,,,,,
Choral,"Allaway, Ben",,Freedom Come (From Bandari),shelf/1434,,,Santa Barbara Music,,,,,
Choral,"Allaway, Ben",,Wake Up Ollie Brown,shelf/1438,,show SSAATTBB,Santa Barbara Music,,,,"ring shout, a capella, 3 solos- A, T, B",
Choral,"Allegri, Gregorio",,"Miserere mei, Deus",73/1409,18,,Chester Music,,,,,
Choral,"Allen, David B.",Harry Simeone,Which Way America?,64/1206,,,Shawnee Press,,,,,
Choral,"Allitson, Frances",,A Song of Thanksgiving,1/3,20,,J.A. Parks Co.,,,,,
Choral,"Anderson, LeRoy",,Pirate Dance (Goldilocks),1/4,43,extended-show,Mills Music Co.,,,,,
Choral,Anonymous,,Rejoice in the Lord Alway,shelf/1618,35,SATB,Oxford,,,,Text Phillippians 4: 4-7,
Choral,"Arcadelt, Jacob",,Ave Maria  (in F),1/5,33,,C.C. Birchard & Co.,,,,,
Choral,"Arcadelt, Jacob",,Ave Maria  (in G),1/6,20,,Bourne Inc.,,,,,
Choral,"Arcadelt, Jacques",Don Malin,Rare is Such Goodness,shelf/ 1593,5,SATB,Marks Music,4/17/2000,,,Madrigal,
Choral,"Arcadelt, Jacques",,Hail Age of Pure gold (Acco D'Oro L'Eta),1/7,55,,Music Press Inc.,,,,,
Choral,"Argento, Dominick",,A Nation of Cowslips,shelf/1500,1 set,,Boosey & Hawkes,12/1/1999,,,one complete set of 7 movements,
Choral,"Argento, Dominick",,"Gloria from ""The Masque of Angels",Top Shelf,63,Mixed,Boosey & Hawkes,,,,,
Choral,"Argento, Dominick",,Let All the World in Every Corner Sing,40/890,47,,Boosey & Hawkes,,,,,
Choral,"Arkhangelsky, Alexandre",,"Day of Judgement, The",1/9,59,,Norden N. Lindsey,,,,,
Choral,"Arkhangelsky, Alexandre",,Hear my Supplication,1/10,22,,M. Whitmark & Co.,,,,,
Choral,"Arkhangelsky, Alexandre",,"Incline Thine Ear, Oh Lord",1/11,32,,M. Whitmark & Co.,,,,,
Choral,Arkin/ Robinson,"Gilpin, Greg",Black and White,shelf/1542,7,SATB,Shawnee Press,3/9/2000,,,,
Choral,"Arlen, Harold",Rizzo,Blues in the Night,63/1166,,,,,,,,
Choral,"Arlen, W.",,Stormy Weather,1/12,57,,Mills Music Co.,,,,,
