bq#,title,comp_date,composer,dates,arranger,instrumentation,state,ui_library,digitized,notes
,Six Canonic Sonatas,,"Telemann, Georg Philipp",,Shaw,2 hn,orig,,y,
,Six Trios op 82,,"Reicha, Anton",1770-1836,Ed. James Chambers,3 hn,orig,,y,
,Horn Quartets,,"Strauss, Franz",1822-1905,,4 hn,orig,,y,
,Time & Space,,"Bissil, Richard",,,"2 hn, piano",orig,,y,
,Gold coast Harmony,,"Ewazen, Eric",,,"2 hn, piano",orig,,y,
,Twas a Dark and Stormy Night,,"Turner, Kerry",,,"2 hn, organ/piano",orig,,y,
,Concertino in F minor,,"Kuhlau, Friedrich",1786-1832,Ed. Joseph Anderer,"2 hn, piano",orig,,y,
,Last Tango in Bayreuth,,"Bach, PDQ",,,4 hn,copy,,y,
,Here Yet Awhile from St. Mattheew Passion,,"Bach, JS",,Leigh Martinet,8 hn,orig,,y,
,"Jesu, Joy of Man's Desiring",,"Bach, JS",,Leigh Martinet,8 hn,orig,,y,
,La Chasse,,"Barrows, John",,,3 hn,orig,,y,
,Harambee,,"Basler, Paul",,,5 hn,orig,,y,
,The Ascension,,"Basler, Paul",,,6 hn,copy,,y,
,In the Mind's Eye,,"Beckel Jr., James A.",,,"4 hn (opt 5), piano",orig,,,
,Six Minuets,,Beethoven,1770-1827,,2 hn,orig,,y,
,Prayer op 48 no 1,,Beethoven,,Kenneth D. Friedrich,6 hn,orig,,y,
,Suite for Four Horns in F,,"Bozza, Eugéne",,,4 hn,orig,,y,
,Akademische Fest-Overture,,"Brahms, Johannes",,Armin Terzer,8 hn,orig,,y,
