library,composer,arranger,title,publisher,b-81.0,score,missing_parts,comments,drawer,type,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Orchestra,"Adler, Samuel",,Concertina,Schirmer,A 6.0,,,,1,String,,,,,,,,,,,,,,,
Orchestra,"Albinoni, Tomaso",,Sonata a Cinque Op. 5 #9,Boosey & Hawkes,A 2.1,,,,1,String,,,,,,,,,,,,,,,
Orchestra,"Albinoni, Tomaso","Kolneder, Walter","Concerto A Major for String Orchestra Op 7, #7",Eulenburg,A-1,Full,,,1,Concerto/String,,,,,,,,,,,,,,,
Orchestra,"Albinoni, Tomaso","Kolneder, Walter",Concerto per 2 oboi e archi Op. 9 No. 3,Eulenburg,A-2,Full,,,1,Concerto,,,,,,,,,,,,,,,
Orchestra,"Anderson, Leroy",,"Plink, Plank, Plunk!",,A 3.1,,,,,,,,,,,,,,,,,,,,
Orchestra,"Anderson, Leroy",,A Christmas Festival,Mills,A 3.3,Full,,,1,Holiday,,,,,,,,,,,,,,,
Orchestra,"Anderson, Leroy",,Promenade,Mills,A-3,Full,,,1,Misc.,,,,,,,,,,,,,,,
Orchestra,"Anderson, Leroy",,Sleigh Ride,,S 40.1,,,,,,,,,,,,,,,,,,,,
Orchestra,"Arensky, Anton","Kramer, Walter",Suite in Canon Form Op. 65,Witmark & Sons,A-4,Full,,,1,Strings/Suite,,,,,,,,,,,,,,,
Orchestra,"Arensky, Anton","Maganini, Q.",Variations on a Theme by Tschaikowsky,Ed. Musicus,A-5,Full,,,1,Strings,,,,,,,,,,,,,,,
Orchestra,"Bach, C.P.E.",Steinberg,Concerto in D Major,Kalmus,B-1,Full,,,1,Concerto,,,,,,,,,,,,,,,
Orchestra,"Bach, C.P.E.","Oberdoerffer, F.",Sinfonia in C Major,Robert Lienau,B-2,Full,,,1,Strings,,,,,,,,,,,,,,,
Orchestra,"Bach, C.P.E.",,Concerto for Flute in D Minor,,B-27.2,,,,,,,,,,,,,,,,,,,,
Orchestra,"Bach, J.S.",,Brandenburg Concerto No. 5,Broude,B-10,Full,,,1,Concerto,,,,,,,,,,,,,,,
Orchestra,"Bach, J.S.",,Cantata No. 51,Kalmus,B-10.1,,,,1,With Chorus,,,,,,,,,,,,,,,
Orchestra,"Bach, J.S.",,"""Christ lag in Todesbanden"" Cantata No. 4",,B-11,Full,,,1,Cantata,,,,,,,,,,,,,,,
