Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Type,Publisher,PerformanceDate,PlayingTime,Score,Comments
Percussion Ensemble,"Anderson, L.",,Sleigh Ride,19,P.46,,,,,,,
Percussion Ensemble,"Anslinger, W.",,Percussion on the Prowl,19,P.39,,,,,,,
Percussion Ensemble,"Bartok, B.",,Sonata for Two Pianos and Persussion,19,P.50,,,,,,,
Percussion Ensemble,"Bauerschmidt, R.L.",,Mesozoic Fantasy,19,P.29,,,,,,,
Percussion Ensemble,"Bech, J.",,Jazz Variants,19,P.26,,,,,,,
Percussion Ensemble,"Brown, T.A.",,Particles,19,P.36,,,,,,,
Percussion Ensemble,"Bukvich, Daniel",,Fantasy for Guitar and Percussion,19,P.19,,,,,,,
Percussion Ensemble,"Bukvich, Daniel",,Lullaby for a Deaf Child,19,P.28,,,,,,,
Percussion Ensemble,"Bukvich, Daniel",,Shibui,19,P.65,,,,,,,
Percussion Ensemble,"Bukvich, Daniel",,The Visitation,19,P.64,,,,,,,
Percussion Ensemble,"Cale, D.",,Conga Capers,19,P.6,,,,,,,
Percussion Ensemble,"Cale, R.W.",,Samba No. 1,19,P.44,,,,,,,
Percussion Ensemble,"Christian, B.",,Dakota,19,P.8,,,,,,,
Percussion Ensemble,"Cirone, A.J.",,Syphony # 1 for Percussion,19,P.55,,,,,,,
Percussion Ensemble,"Cirone, A.J.",,Triptych,19,P.62,,,,,,,
Percussion Ensemble,Copland,,Hoe-Down,19,P.23,,,,,,,
Percussion Ensemble,"Corea, C.",E. Schupman,Children's Song,19,P.4,,,,,,,
Percussion Ensemble,"Crumb, G.",,Nighty Music I,19,P.33,,,,,,,
Percussion Ensemble,"Davidovsky, M.",,Synchronisms No. 5,19,P.56,,,,,,,
Percussion Ensemble,"Davis, T.L.",,Panda Pause,19,P.35,,,,,,,
Percussion Ensemble,"Delp, R.",,Phonetiks,19,P.41,,,,,,,
Percussion Ensemble,"Farberman, H.",,Take-off,19,P.57,,,,,,,
Percussion Ensemble,"Feldstein, S.",,Variations on a Four Note Theme,19,P.63,,,,,,,
Percussion Ensemble,"Fine, E.",,Milo's March,19,P.30,,,,,,,
Percussion Ensemble,"Frock, G.",,Fanfare for Double Percussion Trio,19,P.18,,,,,,,
Percussion Ensemble,"Ganz, R.",,Percussional Mele'e,19,P.37,,,,,,,
Percussion Ensemble,"Gibbs, M.",,Some Echoes,19,P.49,,,,,,,
Percussion Ensemble,"Gilbert, D.K.",,Soliloquy for Percussion,19,P.47,,,,,,,
Percussion Ensemble,"Goodman, S.",,Theme and Variations,19,P.58,,,,,,,
Percussion Ensemble,"Harrison, l.",,The Song of Queziecoatl,19,P.52,,,,,,,
Percussion Ensemble,"Hodlinson, S.",,Drawings: Set No. 1,19,P.11,,,,,,,
Percussion Ensemble,"Hodlinson, S.",,Drawings: Set No. 4,19,P.12,,,,,,,
Percussion Ensemble,"Hopkins, M.",,Statement for Percussion,19,P.54,,,,,,,
Percussion Ensemble,"Hovhaness, A.",,To the God Who is in The Fire,19,P.61,,,,,,,
Percussion Ensemble,K.C. Krause,,Little Suite,19,P.27,,,,,,,
Percussion Ensemble,"Keagle, R.",,Three Movements,19,P.59,,,,,,,
