TC#,Title,Comp Date,Composer,Arranger,Instrumentation,typeset,UI Library,Digitized?,Notes,,,,,,,,,,,,,,,,,,
,007-James Bond ,,Beat Ryser,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Achieved is The Glorious Work ,,Franz Joseph Haydn,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Alexander's Ragtime Band,,Irving Berlin,,Quartet ,,,,Missing 1st Part,,,,,,,,,,,,,,,,,,
,Ave Maria ,,Fraz Biebl ,,Septet,,,,Checked out by Dr. Thiele,,,,,,,,,,,,,,,,,,
,Beati Estis ,,Peter Phillips ,,Choir ,,,,Checked out by Dr. Thiele,,,,,,,,,,,,,,,,,,
,Cantate Dornino ,,Giuseppe Pitoni,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Canzon No. 3 ,,Gabrieli,,Quartet  ,,,,,,,,,,,,,,,,,,,,,,
,Canzon Per 8 Tromboni ,,Tiburtio Massaino,,Octet ,,,,Missing 5th Part ,,,,,,,,,,,,,,,,,,
,Canzona For Four Trombones,,Biagio Marini,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Capriccio,,Steven Verhelst,,Sextet plus solo ,,,,Missing 4th part ,,,,,,,,,,,,,,,,,,
,Dance and Prayer ,,Humperdinck,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Diversion for Six Trombones,,Fisher Tull,,Sextet ,,,,,,,,,,,,,,,,,,,,,,
,Equale No. 3 ,,Mendelssohn-Whittmann,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,"Excerpts from ""The Damnation of Faust""",,Hector Berlioz,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Fanfare for Trombones,,Andrew C. Fox ,,Quartet  ,,,,,,,,,,,,,,,,,,,,,,
,Fighting Trombones,,Hens Peter Schiltknecht,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,First Suite for Four Trombones,,Enio Olander ,,Quartet  ,,,,Missing 1st Part,,,,,,,,,,,,,,,,,,
,Four Little Prayers of St. Francis of Assisi,,Francis Poulenc,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Four Short Dances ,,Robert Jordahl,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Golliwogg's Cakewalk,,C  Debussy ,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Irish Tune ,,Unknown,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Just a Closer Walk With Thee,,Rodney S. Miller,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,La Chasse,,N. Tscherpepnine,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Landsighting,,Edvard Grieg ,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Marche De Tannhauser ,,Richard Wagner ,,Quartet ,,,,Missing 4th part ,,,,,,,,,,,,,,,,,,
,Morgenmusik,,Paul Hindemith,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,O Mille Volte ,,Luca Marenzio,,Octet ,,,,Checked out by Dr. Thiele,,,,,,,,,,,,,,,,,,
,Once Upon a Time in the West,,Ennino Morricone ,,Octet ,,,,Checked out by Dr. Thiele,,,,,,,,,,,,,,,,,,
,Piece for Six Trombones,,Burril Phillips,,Sextet ,,,,Checked out by Dr. Thiele,,,,,,,,,,,,,,,,,,
,Quatuor ,,Pierre Max Dubois ,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Send In The Clowns,,Steven Sondheim,,Octet ,,,,,,,,,,,,,,,,,,,,,,
,South of the Border Suite Part 1,,Tommy Pederson,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,Suite of Three Cities ,,Roger Chapman,,Quartet,,,,Missing 4th part ,,,,,,,,,,,,,,,,,,
,Suite Qyatuor Pour 4 Trombones,,Flor Peeters,,Quartet  ,,,,,,,,,,,,,,,,,,,,,,
,Take Me Out to the Ballgame ,,Northworth / Tilzer,,Quartet ,,,,,,,,,,,,,,,,,,,,,,
,The Glocks Shall Leave the Mountains ,,George Frederic Handel ,,Trio,,,,,,,,,,,,,,,,,,,,,,
