library,composer,arranger,title,envelope,publisher,score_full/cond/oversized,missing_parts,playingtime,comments,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Wind Bands,Agostini,Bainum,"Three Trumpeters, The",1,Belwin,cond,,02:50:00,gone,,,,,,,,,,,,,,,,
Wind Bands,"Albéniz, Isaac","Campbell-Watson, F.",Tango,2,,cond,,,,,,,,,,,,,,,,,,,
Wind Bands,"Alford, Harry L",,"Wedding of Heinie and Kathrina, The",3,,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,"Straus, Oscar","Alford, Harry L.",My Hero,4,Witmark & Sons,cond.,,,"From Oscar Straus' ""The Chocolate Soldier""",,,,,,,,,,,,,,,,
Wind Bands,"Alter, Louis",Overgard,American Serenade,5,Robbins,cond.,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Akers, Howard",,A New Day,6,Kjos,,,02:40:00,Clinic Material,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.",Moehlmann,If Thou Be Near,7,Fitz Simons,full,,05:20:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.",Chiaffarelli,"Sleeper's Wake Wachet auf, ruft uns die Stimme BWV 140",8,Fischer,cond.,,06:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bach, Vincent",,Hungarian Melodies,9,V. Bach,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.",Leidzen,"Jesu, Joy of Man's Desiring",10,Fischer,cond.,,05:15:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.",Cailliet,Prelude and Fugue in G Minor,11,Fischer,,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Bath,Bennett,Cornish Rapsody,12,Fox,cond.,,07:45:00,,,,,,,,,,,,,,,,,
Wind Bands,"Beethoven, Ludwig van","Brown, T.C.",Coriolan Overture,13,Boosey - hawkes,cond.,,08:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Beghon, Jean","Roberts, C.",Preludes,14,Fischer,cond.,,4 min.,,,,,,,,,,,,,,,,,
Wind Bands,"Bellstedt, herman",,Willaim Tell Burlesque,15,educational music bureau,full,,,small band,,,,,,,,,,,,,,,,
Wind Bands,"Bendel, Franz",watson,Sunday Morning at Glion,16,Witmark,cond,,,from By the lake at Geneva,,,,,,,,,,,,,,,,
Wind Bands,"Bennett, David",,Cypress Silhouettes,17,Fischer,cond.,,05:10:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bennett, David",,Broadcast from Brazil,18,Fischer,cond.,,02:45:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bennett, David",,Legend of Sleepy Hollow,19,Mills,cond,,05:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Simes, Bob",,Ripe Tomatoes,19,,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bennett, David",,"Four Hornsman, The",20,Fischer,cond.,,05:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bennett, David",,Repartee,21,Fischer,cond.,,06:20:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bergh, Arthur",Watson,Honor & Glory,22,Remick,full,,06:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Berlioz, Hector","McKay, G",March to the Scaffold,23,elkan - Vogel,,,,from symphonie Fantastique,,,,,,,,,,,,,,,,
Wind Bands,"Benjamin, Arthur",Morgenstern,Jamaican Rhumba,24,Boosey-Hawkes,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,"Berlioz, Hector",Goldman,Grand Symphony for Band,25,Mercury,full,,,Movement II - Recitative & prayer Trombone solo,,,,,,,,,,,,,,,,
Wind Bands,"Bizet, Georges",Lake,L'Arlesienne Suite #1,27,Fischer,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bizet, Georges",Iasilli,L'Arlesienne Suite #2,27,Fischer,cond.,,#3:40,Farandole - part II Pastorale;Intermezzo - part I,,,,,,,,,,,,,,,,
Wind Bands,"Williams, E",,"Symphony No. 1, Mvt. 1",27,,full,,,hardly worth the effort,,,,,,,,,,,,,,,,
Wind Bands,"Bloom, Rube",Leidzen,Song of the Bayou,28,feist,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,miaskovsky,triumphal march,,28,,,,,,,,,,,,,,,,,,,,,
Wind Bands,"borodin, alexander",Leidzen,"Symphony No. 2, Mvt. 1",29,Fischer,full,,06:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Boyer, Louis",Lillya,Ariane Overture,30,Witmark,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,"Brahms, Johannes",Duthoit,Variations on a Theme by Haydn,31,Boosey-Hawkes,full,,15:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"briegal, G.& Tucker,J",,Triplets,32,Briegal,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bucalossi, Ernest","Brown, T.C.",Grasshopper's Dance,33,Hawkes & Son,cond.,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"buchtel, Forrest",,Magic Isle,34,Kjos,cond,,,clinic material,,,,,,,,,,,,,,,,
Wind Bands,"Buys, Peter",,Rainbow Overture,35,Belwin,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Cadman, Charles",Fulton,March in C,36,ditson,condensed,,,,,,,,,,,,,,,,,,,
Wind Bands,"Cailliet, Lucien",,Pop Goes the Weasel,37,elkan - Vogel,,,,theme 7 Variations,,,,,,,,,,,,,,,,
Wind Bands,Chabrier,Safranek,Espana Rhapsodie,38,Fischer,,,06:15:00,,,,,,,,,,,,,,,,,
Wind Bands,Cavallini,Waln,Adagio Tarantella,39,Kjos,,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Christensen,,Nordic fantasy,40,Kjos,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Cline, J. De Forest",,Cowboy Lament,41,Fischer,,,04:35:00,Simple - too long,,,,,,,,,,,,,,,,
Wind Bands,"Coates, Eric",Williams,London Suite,42,chappell,cond,,12:30:00,3 mov.,,,,,,,,,,,,,,,,
Wind Bands,"Coates, Eric",Godfrey,Four Ways Suite,43,chappell,,,15:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Coates, Eric",williams,"Three Men, The",44,chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Coates, Eric",Godfrey,"Three Bears, The",45,chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,Colby,Huffer,Headlines,46,Witmark,full,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Granhter,Colonial Song,,46,Schoti & Co,,,,,,,,,,,,,,,,,,,,
Wind Bands,Colby,Huffer,March of the Pioneers,47,Gamble-hinged Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,Coleridge-Taylor,Winterbottom,St. Agnes Eve,48,Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Copland, Aaron",,An Outdoor Overture,49,boosey-Hawkes,full,,09:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Couperin-Milhaud,walker,"Overture & Allegro from 'La Sultane""",50,elkan - Vogel,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Cowell, Henry",,Hymn & Fuging Tune No. 1,51,Leeds,cond.,,03:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Cowell, Henry",,Shoonthree,52,Mercury,,,,needs good WW,,,,,,,,,,,,,,,,
Wind Bands,"Creston, Paul",,Legend,53,Leeds,,,06:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Creston, Paul",,Zanoni,54,G. schirmer,Full,,,,,,,,,,,,,,,,,,,
Wind Bands,"crist, brainbridge",,Vienna 1913,55,Witmark,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Debussy, Claude",Walters,The Afternoon of a Faun,56,Rubank,cond.,,05:00:00,,,,,,,,,,,,,,,,,
Wind Bands,De Falla,Clark,Ritual Fire Dance,57,MS,,,,,,,,,,,,,,,,,,,,
Wind Bands,DeKoven,Reibold,Robin hood,59,Fox,,,,,,,,,,,,,,,,,,,,
Wind Bands,DeRuburtis,,Niobe,60,Remick,full,,04:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Deppen,St. Clair,Japanese Sunset,61,Fox,,,,,,,,,,,,,,,,,,,,
Wind Bands,DeRose,Overgard,American Waltz,62,Robbins,,,03:00:00,,,,,,,,,,,,,,,,,
Wind Bands,DeRose,Leidzen,Deep Purple,63,Robbins,,,,,,,,,,,,,,,,,,,,
Wind Bands,Desormes,Safrenek,Divertissemente Espagole,64,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Dvorak, Antonin",Leidzen,"Symphony No. 5 New World, Mvt. 4 - Finale",65,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Elgar, Edward",Woodhouse,Sea Pictures,66,Boosey-Hawkes,,,09:00:00,three songs,,,,,,,,,,,,,,,,
Wind Bands,"Elgar, Edward",Godfrey,Three Bavarian Dances,67,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,Enesco,,Roumanian Rhapsody No. 1,68,Boosey-Hawkes,full,,14:00:00,,,,,,,,,,,,,,,,,
Wind Bands,fauchet,gillette,"Symphony in B♭, Mvt. 1 - Overture",69,Witmark,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Fletcher, Grant",,Vanity Fair,70,Boosey-Hawkes,71,,,,,,,,,,,,,,,,,,,
Wind Bands,fauchet,watson,"Symphony in B♭, Mvt. 2 - Nocturne",72,Witmark,full,,15:15:00,,,,,,,,,,,,,,,,,
Wind Bands,Fourdrain,De Rubertis,Symphonic Episode,73,Boosey-Hawkes,full,,,,,,,,,,,,,,,,,,,
Wind Bands,franck,gillette,"Symphony in D minor, Mvt. 4 - Finale",74,Witmark,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Frankiser, Carl",,Nymphs & the Dinosaur,75,Belwin,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Frankiser, Carl",,Stratosphere Overture,76,Belwin,full,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Frankiser, Carl",,Trancendence Overture,77,Belwin,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Frankiser, Carl",,A Merry Christmas,78,Belwin,,,,,,,,,,,,,,,,,,,,
Wind Bands,Fred,,Fantasy on an American Air,79,Fitz Simons,,,05:10:00,,,,,,,,,,,,,,,,,
Wind Bands,Fred,,Moods Interlude,80,FitsSimons,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Beethoven, Ludwig van",Schaefer,Wellington's Victory,81,Belwin,,,,,,,,,,,,,,,,,,,,
Wind Bands,german,Laurendeau,"Three Dances from ""Henry VIII""",81,Fischer,,,02:30:00,,,,,,,,,,,,,,,,,
Wind Bands,german,brown,Welsh Rhapsody,82,Boosey-Hawkes,full,,09:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Gershwin, George","Bennett, R.",Porgy and Bess,83,Chappell,cond.,,08:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Gershwin, George",Grofe,Rhapsody in Blue,84,Harms,cond.,,16 min.,,,,,,,,,,,,,,,,,
Wind Bands,Gillette,,Short Classics for band,85,Fischer,,,14:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Gillette,,Cabins,86,Witmark,full,,,,,,,,,,,,,,,,,,,
Wind Bands,Gillette,,Vistas,87,Witmark,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Gliere, Reinhold",Leidzen,Russian Sailor's dance,88,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Glinka,Henning,Russlan & Ludmilla,89,Fischer,full,,06:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Glinka,Winterbottom,Komarinskaja (Slavic Wedding),90,chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,Godard,Godfrey,"Danse des Bohemians from ""Le tasse""",91,Chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Saint-Saëns, Camille",Godfrey,Princess Juane,91,Chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,Godard,Lake,Scenes Poetiques,92,Fischer,,,05:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Goldman,Leidzen,American Caprice,93,Fischer,,,03:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Goldman,,A Sentimental Journey,94,mills,,,,,,,,,,,,,,,,,,,,
Wind Bands,Goldman,,Echo Waltz,95,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Gossec,Goldman,Military Symphony In F,96,Mercury,,,09:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Gottschalk,Leidzen,Pasquinade,97,Fischer,,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Gould, Morton",Bennett,Cowboy Rhapsody,98,Mills,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Gould, Morton",,Ballad for Band,99,Chappell,,,08:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Gillette,,Fugal fantasia,100,witmark,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Gould, Morton",,Rumbalero,101,Fischer,,,4;00,,,,,,,,,,,,,,,,,
Wind Bands,"Gould, Morton",,Jericho,102,Mills,,,11:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Gould, Morton",,"Serenade of Carols, Mvt. 3",103,Chappell,,,04:20:00,,,,,,,,,,,,,,,,,
Wind Bands,"Gounod, Charles","Harding, A Austin.",Mirella,104,Boosey-Hawkes,full & cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,"Gounod, Charles","lake, M.L.",La reine de Saba,105,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Grainger, Percy Aldridge",Kent,Irish Tune from Country Derry,106,Fischer,compressed,,03:20:00,very poor condition.,,,,,,,,,,,,,,,,
Wind Bands,"Grainger, Percy Aldridge",Kent,Shepherd's Hey,106,Fischer,compressed,,02:15:00,very poor condition,,,,,,,,,,,,,,,,
Wind Bands,"Grainger, Percy Aldridge",,Ye Banks & Braes O'Bonnie Doon,107,Schirmer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Gribbell,,Refections in a Modern Mood,108,Fillmore,,,,,,,,,,,,,,,,,,,,
Wind Bands,Grieg,Henning,Landsighting,109,Schirmer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Grieg,Lake,Sigurd Jolsafar,110,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Grofè,Leidzen,"Mississippi Suite, Mvt. 4 - Mardi Gras",111,Feist,,,,,,,,,,,,,,,,,,,,
Wind Bands,Grofè,Leidzen,On the Trail,112,Robbins,,,,,,,,,,,,,,,,,,,,
Wind Bands,Grofè,Cooke,Ode to freedom,113,Robbins,,,04:00:00,based on Battle hymn of the Republic,,,,,,,,,,,,,,,,
Wind Bands,Grundman,,American Folk Rhapsody No. 1,114,Boosey-Hawkes,Full,,06:15:00,,,,,,,,,,,,,,,,,
Wind Bands,Guentzel,,Festival Overture in F,115,Barnhouse,,,08:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Guentzel,,"Wanderer's Call, The",116,barnhouse,,,08:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Hadley,,Youth Triumphant,117,Fischer,,,7;00,,,,,,,,,,,,,,,,,
Wind Bands,Hadley,Roberts,"Prelude from ""Suite Ancienne""",118,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Hansen,Brown,Little Norwegian Suite,119,Boosey-Hawkes,full,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Handel, G. F.",Sartorius,Royal Fireworks Music,120,Music Press,,,,concerto grosso for 11 players,,,,,,,,,,,,,,,,
Wind Bands,haufrecht,,Walkin' the Road,121,leeds,,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Hanson,Naddy,"Nordic Symphony, Mvt. 2",122,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Harris,,Cimarpon,123,Mills,,,,,,,,,,,,,,,,,,,,
Wind Bands,Harrison,Huffer,In the Cloaming,124,Gamble 3/4 hinged,,,05:15:00,,,,,,,,,,,,,,,,,
Wind Bands,Haydn,Byrns,Adagio from Cello Concerto,125,Witmark,,,02:20:00,,,,,,,,,,,,,,,,,
Wind Bands,Helbig,,Prelude & Beguine,126,Bourne,,,,,,,,,,,,,,,,,,,,
Wind Bands,Herbert-Camarata,Leidzen,Festival March,127,Fischer,,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Herbert,Watson,Red Mill Overture,128,Witmark,,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Holmes,,Daphnis,129,Barnhouse,,,,,,,,,,,,,,,,,,,,
Wind Bands,Holmee,,Safari,130,Barnhouse,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Holst, Gustav",,First Suite in E♭,131,B & H,,,,,,,,,,,,,,,,,,,,
Wind Bands,Howland,,Mood Mauve,132,Witmak,,,06:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Humperdinck,maddy,Prayer & Dream Pantomine,133,,,,,"from ""Hansel & Gretel""",,,,,,,,,,,,,,,,
Wind Bands,Irons,,Early American Overture,134,Overture,,,full,,,,,,,,,,,,,,,,,
Wind Bands,"Jacob, Gordon",,An Original Suite,135,boosey-Hawkes,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,holmes,,Tarantella,136,Witmark,,,,,,,,,,,,,,,,,,,,
Wind Bands,Harvey,,Band Sonata,137,Kjos,,,,,,,,,,,,,,,,,,,,
Wind Bands,Jones,,"Hidden Cities, The",139,Bourne,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Kabalevsky, Dmitri",Leidzen,Comedian's Gallop,140,Leeds,cond.,,01:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Kelar - Bela,Lake,Hungarian Comedy (Lutspiel),141,Fischer,,,09:15:00,,,,,,,,,,,,,,,,,
Wind Bands,Kelar - Bela,Tobani,Hungarian Comedy,142,Fischer,,,09:15:00,,,,,,,,,,,,,,,,,
Wind Bands,kern,Leidzen,Smoke Gets in your eyes,143,harms,,,5;00,,,,,,,,,,,,,,,,,
Wind Bands,King,,Golden Dragon,144,Barnhouse,,,,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,,Chal Romano,145,Bosworth,,,07:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,,The Clock and the Dresden Figures,145,Bosworth,,,,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,Amers,Cockney Suite,147,Bosworth,,,12:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Ketelby,,In a Chinese Temple Garden,148,Bosworth,,,,,,,,,,,,,,,,,,,,
