q#,title,comp_date,composer,dates,arranger,instrumentation_1111.1,condition,ui_library,digitized,originals_w/1_part_missing,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28
,Night Journey,1987,Adolphe,,,,original,y,y,,,,,,,,,,,,,,,,,,
,Three Shanties,,"Arnold, Malcolm",,,,copy,y,y,,,,,,,,,,,,,,,,,,
,Giant Fugue,,"Bach, J.S.",,"Taylor, Ross",,original,,,y - OB HN,,,,,,,,,,,,,,,,,
,Prelude and Fugue XXII,,"Bach, J.S.",,"Nakagawa, Ryohei",,original,,y,,,,,,,,,,,,,,,,,,
,Organ Works Arranged for Wind Quintet,,"Bach, J.S.",,"Rechtman, Mordechai",,copy,,y,,,,,,,,,,,,,,,,,,
,Pirates of the Caribbean,,Badelt,,Harris,,copy,,y,,,,,,,,,,,,,,,,,,
,Serenata per quintetto A fiati,,Balázs,,,,original,,y,,,,,,,,,,,,,,,,,,
,Passacille,,Barthe,,,,copy,,y,,,,,,,,,,,,,,,,,,
,Rhapsody on a Chassigic Tune,,Baron,,,,original,,,y - FL,,,,,,,,,,,,,,,,,
,March for Wind Quintet,,"Barrows, John",,,,original,,y,,,,,,,,,,,,,,,,,,
,Pastorale,,Beach,,,,copy,,,y - BSN,,,,,,,,,,,,,,,,,
,Five Pieces for Mechanical Organ,1799,"Beethoven, L. van",,"Skowronek, Felix",,original,,y,,,,,,,,,,,,,,,,,,
,Concerto for Wind Quintet,,Bergsma,,,,original,,y,,,,,,,,,,,,,,,,,,
,March hongroise,,Berlioz,,"Linckelmann, Joachim",,copy,,,y - HN,,,,,,,,,,,,,,,,,
,Opus Number Zoo,,Berio,,,,copy,,y,,,,,,,,,,,,,,,,,,
,Fantasy for Woodwind Quintet,1968,"Billingsley, William",,,"1 Fl, 1 Ob, 1 Cl, 1 Bsn, 1 Hn",original,,y,,,,,,,,,,,,,,,,,,
,Quintet Opus II No. 1,,Brod,,Schuller,,original,,,y - FL,,,,,,,,,,,,,,,,,
,"Bläserquintett, Op. 16",,Bruns,,,,original,,y,,,,,,,,,,,,,,,,,,
,Woodwind Quintet,1948,"Carter, Elliot",,,,original,,y,,,,,,,,,,,,,,,,,,
,II. Quintetto A Fiato,,Ceremuga,,,,original,,y,,,,,,,,,,,,,,,,,,
,Nocturne,,Chaitkin,,,,original,,y,,,,,,,,,,,,,,,,,,
,Allegro Arioso for Five Wind Instruments,,"Dahl, Ingolf",,,,original,,y,,,,,,,,,,,,,,,,,,
,Quintett Op 67 No 2 in e-Moll,,Danzi,,,,copy,,,,,,,,,,,,,,,,,,,,
,Quintett Op 67 No 3,,Danzi,,,,copy,,y,,,,,,,,,,,,,,,,,,
